,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
3236,Camry,Riyadh,Toyota,Automatic,Other,Standard,2010,2.5,400000,22000
3237,LX,Dammam,Lexus,Automatic,Saudi,Full,2020,5.7,30000,468000
3238,Patrol,Abha,Nissan,Manual,Saudi,Standard,1978,4.0,30000,28000
3239,Escalade,Riyadh,Cadillac,Automatic,Other,Semi Full,2007,8.0,166000,48000
3240,Silverado,Dammam,Chevrolet,Automatic,Other,Full,1985,5.3,200,30000
3241,The 7,Riyadh,BMW,Automatic,Saudi,Semi Full,2018,3.6,36000,230000
3243,Avalon,Aseer,Toyota,Automatic,Saudi,Full,2012,3.5,225000,75000
3244,Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2012,8.0,228000,112000
3245,Sorento,Jubail,Kia,Automatic,Saudi,Full,2015,3.8,167160,43000
3247,Hiace,Dammam,Toyota,Manual,Saudi,Standard,2015,2.7,178000,60000
3248,Tucson,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,200000,39000
3249,300,Al-Ahsa,Chrysler,Automatic,Other,Full,2014,5.7,188000,57000
3250,GL,Dammam,Mercedes,Automatic,Saudi,Full,2014,4.6,139000,135000
3252,Mustang,Makkah,Ford,Automatic,Saudi,Full,2007,4.6,195,27000
3255,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,61000,73000
3256,Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,22000,85000
3257,VTC,Al-Ahsa,Nissan,Manual,Saudi,Standard,2015,4.8,340000,49000
3260,Silverado,Khobar,Chevrolet,Automatic,Gulf Arabic,Full,2019,5.3,77000,185000
3261,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,103000,83000
3262,LX,Riyadh,Lexus,Automatic,Saudi,Full,2018,1.0,105000,355000
3263,FJ,Dammam,Toyota,Automatic,Saudi,Semi Full,2015,4.0,110000,115000
3265,Grand Cherokee,Al-Ahsa,Jeep,Automatic,Other,Full,2011,5.7,266000,36000
3266,Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,15000,105000
3269,Senta fe,Khobar,Hyundai,Automatic,Saudi,Full,2015,3.3,246000,60000
3270,Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2011,4.6,434,85000
3271,IS,Dammam,Lexus,Automatic,Other,Full,2015,3.5,132000,106000
3272,Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.6,144000,45000
3273,Land Cruiser,Al-Ahsa,Toyota,Automatic,Saudi,Full,2015,4.7,137000,150000
3276,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,380000,43000
3277,Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,4000,48000
3278,Grand Cherokee,Abha,Jeep,Automatic,Saudi,Standard,2014,5.7,233000,50000
3280,S,Taef,Mercedes,Automatic,Gulf Arabic,Full,2015,1.8,113,240000
3281,Sunny,Al-Medina,Nissan,Automatic,Saudi,Standard,2019,1.5,89000,29000
3283,Innova,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,2.7,179600,51000
3284,Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
3286,Land Cruiser,Al-Medina,Toyota,Manual,Other,Semi Full,1993,4.6,196671,30000
3289,Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2007,5.3,359000,38000
3290,CX9,Riyadh,Mazda,Automatic,Saudi,Full,2015,3.7,217162,68500
3291,Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.5,40000,120000
3293,Previa,Riyadh,Toyota,Automatic,Other,Standard,2009,1.7,400000,15000
3294,X,Qassim,BMW,Automatic,Other,Full,2020,4.0,1000,410000
3296,Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,8200,107000
3297,Camry,Qassim,Toyota,Automatic,Saudi,Full,2017,2.5,253641,62000
3300,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,70676,59500
3302,GS,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2019,3.5,62000,170000
3304,Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,167000,80000
3305,Suburban,Aseer,GMC,Automatic,Saudi,Semi Full,2000,6.0,128000,80000
3308,Innova,Jeddah,Toyota,Automatic,Saudi,Semi Full,2018,2.0,99000,64000
3311,S300,Jeddah,Chrysler,Automatic,Other,Semi Full,2015,3.6,106000,75000
3312,RX8,Aseer,MG,Automatic,Saudi,Full,2021,2.0,4000,105000
3313,Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2006,2.4,240000,20000
3314,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2010,5.3,250000,55000
